track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
6sDeF4lLQHWfGOqBzV3whw,0.54,0.739,7,-5.919,1,0.231,0.00678,1.1e-05,0.0814,0.616,88.043,audio_features,6sDeF4lLQHWfGOqBzV3whw,spotify:track:6sDeF4lLQHWfGOqBzV3whw,https://api.spotify.com/v1/tracks/6sDeF4lLQHWfGOqBzV3whw,https://api.spotify.com/v1/audio-analysis/6sDeF4lLQHWfGOqBzV3whw,177091,4
1V0aBBaYY5oSsatLMtre9y,0.674,0.608,7,-7.315,1,0.0304,0.289,0.0,0.247,0.42,119.954,audio_features,1V0aBBaYY5oSsatLMtre9y,spotify:track:1V0aBBaYY5oSsatLMtre9y,https://api.spotify.com/v1/tracks/1V0aBBaYY5oSsatLMtre9y,https://api.spotify.com/v1/audio-analysis/1V0aBBaYY5oSsatLMtre9y,181933,4
6V0A3jkb9ntudO0kmcJ1xd,0.658,0.814,0,-4.631,1,0.0558,0.229,0.00676,0.216,0.69,108.016,audio_features,6V0A3jkb9ntudO0kmcJ1xd,spotify:track:6V0A3jkb9ntudO0kmcJ1xd,https://api.spotify.com/v1/tracks/6V0A3jkb9ntudO0kmcJ1xd,https://api.spotify.com/v1/audio-analysis/6V0A3jkb9ntudO0kmcJ1xd,183602,4
6b7P9ZrNbF7WNczuIJqJL1,0.787,0.241,2,-9.115,1,0.032,0.221,0.0197,0.167,0.5,92.526,audio_features,6b7P9ZrNbF7WNczuIJqJL1,spotify:track:6b7P9ZrNbF7WNczuIJqJL1,https://api.spotify.com/v1/tracks/6b7P9ZrNbF7WNczuIJqJL1,https://api.spotify.com/v1/audio-analysis/6b7P9ZrNbF7WNczuIJqJL1,166413,3
7yoNS78wCq61PqbfBggqzo,0.381,0.123,8,-21.272,1,0.0612,0.713,5.49e-05,0.177,0.0729,149.728,audio_features,7yoNS78wCq61PqbfBggqzo,spotify:track:7yoNS78wCq61PqbfBggqzo,https://api.spotify.com/v1/tracks/7yoNS78wCq61PqbfBggqzo,https://api.spotify.com/v1/audio-analysis/7yoNS78wCq61PqbfBggqzo,313539,4
35qRwSUu7Z5bvqTE7iGyxi,0.676,0.154,7,-12.819,1,0.0474,0.936,1.83e-05,0.0948,0.353,95.109,audio_features,35qRwSUu7Z5bvqTE7iGyxi,spotify:track:35qRwSUu7Z5bvqTE7iGyxi,https://api.spotify.com/v1/tracks/35qRwSUu7Z5bvqTE7iGyxi,https://api.spotify.com/v1/audio-analysis/35qRwSUu7Z5bvqTE7iGyxi,178001,4
6fmNznIaU7dhIGXVtou157,0.734,0.269,6,-11.116,0,0.0412,0.714,0.0,0.102,0.118,107.883,audio_features,6fmNznIaU7dhIGXVtou157,spotify:track:6fmNznIaU7dhIGXVtou157,https://api.spotify.com/v1/tracks/6fmNznIaU7dhIGXVtou157,https://api.spotify.com/v1/audio-analysis/6fmNznIaU7dhIGXVtou157,203553,4
2MS6RRdBVpYQtmWaDC8UyR,0.506,0.643,11,-6.711,0,0.0909,0.108,0.0,0.194,0.258,186.024,audio_features,2MS6RRdBVpYQtmWaDC8UyR,spotify:track:2MS6RRdBVpYQtmWaDC8UyR,https://api.spotify.com/v1/tracks/2MS6RRdBVpYQtmWaDC8UyR,https://api.spotify.com/v1/audio-analysis/2MS6RRdBVpYQtmWaDC8UyR,224707,4
2rHEY6rgsPyoXWa6dMDrzR,0.448,0.441,7,-10.121,1,0.0932,0.618,2.72e-05,0.114,0.118,76.611,audio_features,2rHEY6rgsPyoXWa6dMDrzR,spotify:track:2rHEY6rgsPyoXWa6dMDrzR,https://api.spotify.com/v1/tracks/2rHEY6rgsPyoXWa6dMDrzR,https://api.spotify.com/v1/audio-analysis/2rHEY6rgsPyoXWa6dMDrzR,211178,4
3GNnTQVqE4zUSECYzHXq0b,0.523,0.286,5,-7.634,1,0.0923,0.458,0.0,0.113,0.337,205.336,audio_features,3GNnTQVqE4zUSECYzHXq0b,spotify:track:3GNnTQVqE4zUSECYzHXq0b,https://api.spotify.com/v1/tracks/3GNnTQVqE4zUSECYzHXq0b,https://api.spotify.com/v1/audio-analysis/3GNnTQVqE4zUSECYzHXq0b,224639,4
